,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
958,RAUL GRIJALVA ELEMENTARY SCHOOL,TUCSON,PIMA,85746.0,PUBLIC,99,0.99
959,RIGGS ELEMENTARY,GILBERT,MARICOPA,85298.0,PUBLIC,99,0.95
960,SAN TAN CHARTER SCHOOL,GILBERT,MARICOPA,85234.0,CHARTER,99,0.78
961,TERRAMAR ELEMENTARY,PEORIA,MARICOPA,85383.0,PUBLIC,99,0.96
962,TWIN PEAKS ELEMENTARY SCHOOL,TUCSON,PIMA,85743.0,PUBLIC,99,0.98
963,BORMAN ELEMENTARY SCHOOL,TUCSON,PIMA,85708.0,PUBLIC,100,0.99
964,BUTTERFIELD ELEMENTARY SCHOOL,MARICOPA,PINAL,85239.0,PUBLIC,100,0.89
965,CATALINA VENTURA SCHOOL,PHOENIX,MARICOPA,85019.0,PUBLIC,100,0.99
966,CESAR CHAVEZ ELEMENTARY,SAN LUIS,YUMA,85349.0,PUBLIC,100,1.0
967,COTTONWOOD ELEMENTARY SCHOOL,TUCSON,PIMA,,PUBLIC,100,0.96
968,GREAT HEARTS ACADEMIES - ARCHWAY CLASSICAL ACADEMY TRIVIUM WEST,GOODYEAR,MARICOPA,85395.0,CHARTER,100,0.85
969,KINGMAN ACADEMY OF LEARNING - PRIMARY,KINGMAN,MOHAVE,86409.0,CHARTER,100,0.97
970,MESQUITE ELEMENTARY SCHOOL,TUCSON,PIMA,,PUBLIC,100,0.95
971,OAKWOOD ELEMENTARY SCHOOL,PEORIA,MARICOPA,85381.0,PUBLIC,100,0.94
972,ODYSSEY PREPERATORY ACADEMY - BUCKEYE APACHE,BUCKEYE,MARICOPA,85326.0,CHARTER,100,0.97
973,REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,PHOENIX,MARICOPA,85027.0,CHARTER,100,0.96
974,WILDFIRE ELEMENTARY,PHOENIX,MARICOPA,85050.0,PUBLIC,100,0.92
975,WEINBERG ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85298.0,PUBLIC,100,0.87
976,ADAMS ELEMENTARY SCHOOL,MESA,MARICOPA,85202.0,PUBLIC,101,0.97
977,AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,GILBERT,MARICOPA,85296.0,CHARTER,101,0.89
978,BROADMOR ELEMENTARY SCHOOL,TEMPE,MARICOPA,85282.0,PUBLIC,101,0.97
979,DOVE MOUNTAIN K-8,MARANA,PIMA,85658.0,PUBLIC,101,0.93
980,ELVIRA ELEMENTARY SCHOOL,TUCSON,PIMA,85756.0,PUBLIC,101,0.99
981,INDIAN BEND ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85032.0,PUBLIC,101,0.98
982,KYRENE DE LOS LAGOS SCHOOL,PHOENIX,MARICOPA,85048.0,PUBLIC,101,0.95
983,KYRENE MONTE VISTA SCHOOL,PHOENIX,MARICOPA,85048.0,PUBLIC,101,0.92
984,PORFIRIO H. GONZALES ELEMENTARY SCHOOL,TOLLESON,MARICOPA,85353.0,PUBLIC,101,0.93
985,ALTA VISTA ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85051.0,PUBLIC,102,0.96
986,BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,QUEEN CREEK,MARICOPA,85142.0,CHARTER,102,0.8
987,GATEWAY POINTE ELEMENTARY,HIGLEY,MARICOPA,85236.0,PUBLIC,102,0.92
988,RICHARD E MILLER SCHOOL,PHOENIX,MARICOPA,85021.0,PUBLIC,102,0.95
989,SETTLERS POINT ELEMENTARY,GILBERT,MARICOPA,85296.0,PUBLIC,102,0.94
990,WESTWIND PRIMARY,PHOENIX,MARICOPA,85037.0,PUBLIC,102,0.99
991,ADAMS TRADITIONAL ACADEMY,PHOENIX,MARICOPA,85027.0,CHARTER,103,0.93
992,AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,QUEEN CREEK,PINAL,85140.0,CHARTER,103,0.9
993,COCHISE ELEMENTARY SCHOOL,SCOTTSDALE,MARICOPA,85258.0,PUBLIC,103,0.91
994,ODYSSEY PREPERATORY ACADEMY - GOODYEAR,GOODYEAR,MARICOPA,85338.0,CHARTER,103,0.9
995,ORANGEWOOD ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85021.0,PUBLIC,103,0.94
996,SALIDA DEL SOL ELEMENTARY,YUMA,YUMA,85364.0,PUBLIC,103,1.0
997,BASIS PHOENIX CENTRAL PRIMARY,PHOENIX,MARICOPA,85012.0,CHARTER,104,0.93
998,BILTMORE PREPARATORY ACADEMY,PHOENIX,MARICOPA,85018.0,PUBLIC,104,0.97
999,BRET TARVER ELEMENTARY,PHOENIX,MARICOPA,85031.0,PUBLIC,104,1.0
1000,CHARLES W HARRIS ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85035.0,PUBLIC,104,0.98
1001,CHEROKEE ELEMENTARY SCHOOL,SCOTTSDALE,MARICOPA,85253.0,PUBLIC,104,0.89
1002,IRA A FULTON ELEMENTARY,CHANDLER,MARICOPA,85248.0,PUBLIC,104,0.93
1003,NORTERRA CANYON K-8,PHOENIX,MARICOPA,85085.0,PUBLIC,104,0.88
1004,SUNBURST ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85306.0,PUBLIC,104,0.97
1005,TOMAHAWK ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,104,0.96
1006,BOULDER CREEK ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85024.0,PUBLIC,105,0.99
1007,CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,CHANDLER,MARICOPA,85224.0,PUBLIC,105,0.96
1008,COLONEL JOHNSTON ELEMENTARY SCHOOL,FORT HUACHUCA,COCHISE,85613.0,PUBLIC,105,0.99
1009,DESERT SAGE ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85310.0,PUBLIC,105,0.92
1010,FORT MOHAVE ELEMENTARY SCHOOL,FORT MOHAVE,MOHAVE,86426.0,PUBLIC,105,0.97
1011,IMAGINE ELEMENTARY AT COOLIDGE,COOLIDGE,PINAL,85128.0,CHARTER,105,0.96
1012,LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,ORO VALLEY,PIMA,85755.0,CHARTER,105,0.91
1013,QUAIL RUN ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85050.0,PUBLIC,105,0.81
1014,VERRADO ELEMENTARY SCHOOL,BUCKEYE,MARICOPA,85396.0,PUBLIC,105,0.82
1015,ROBERT AND DANELL TARWATER ELEMENTARY,CHANDLER,MARICOPA,85248.0,PUBLIC,106,0.96
1016,TIERRA DEL SOL ELEMENTARY SCHOOL,SOMERTON,YUMA,85350.0,PUBLIC,106,0.97
1017,WHITMAN ELEMENTARY SCHOOL,MESA,MARICOPA,85201.0,PUBLIC,106,1.0
1018,BASIS SCOTTSDALE PRIMARY,SCOTTSDALE,MARICOPA,85259.0,CHARTER,107,0.92
1019,CORTINA ELEMENTARY,QUEEN CREEK,MARICOPA,85242.0,PUBLIC,107,0.89
1020,MARLEY PARK ELEMENTARY,SURPRISE,MARICOPA,85379.0,PUBLIC,107,0.86
1021,TUSCANO ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85043.0,PUBLIC,107,0.99
1022,DREAMING SUMMIT ELEMENTARY,LITCHFIELD PARK,MARICOPA,85340.0,PUBLIC,108,0.89
1023,NEELY TRADITIONAL ACADEMY,GILBERT,MARICOPA,85233.0,PUBLIC,108,0.94
1024,PALM VALLEY ELEMENTARY,AVONDALE,MARICOPA,85340.0,PUBLIC,108,0.9
1025,ROUND VALLEY INTERMEDIATE SCHOOL,EAGAR,APACHE,85925.0,PUBLIC,108,0.88
1026,SUNSET HEIGHTS ELEMENTARY SCHOOL,PEORIA,MARICOPA,85382.0,PUBLIC,108,0.97
1027,SUPERSTITION SPRINGS ELEMENTARY,MESA,MARICOPA,85209.0,PUBLIC,108,0.94
1028,TAVAN ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85018.0,PUBLIC,108,0.94
1029,ALTA E BUTLER SCHOOL,PHOENIX,MARICOPA,85009.0,PUBLIC,109,0.99
1030,KIVA ELEMENTARY SCHOOL,PARADISE VALLEY,MARICOPA,85253.0,PUBLIC,109,0.93
1031,MCCARTNEY RANCH ELEMENTARY SCHOOL,CASA GRANDE,PINAL,85122.0,PUBLIC,109,1.0
1032,ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85248.0,PUBLIC,110,0.92
1033,CRAYCROFT ELEMENTARY SCHOOL,TUCSON,PIMA,85756.0,PUBLIC,110,0.96
1034,DESERT MOUNTAIN ELEMENTARY,QUEEN CREEK,MARICOPA,85242.0,PUBLIC,110,0.9
1035,G FRANK DAVIDSON,PHOENIX,MARICOPA,85033.0,PUBLIC,110,1.0
1036,HERMOSA VISTA ELEMENTARY SCHOOL,MESA,MARICOPA,85213.0,PUBLIC,110,0.89
1037,KYRENE DEL CIELO SCHOOL,CHANDLER,MARICOPA,85226.0,PUBLIC,110,0.95
1038,COPPER RIM ELEMENTARY SCHOOL,GLOBE,GILA,85501.0,PUBLIC,111,0.98
1039,HALEY ELEMENTARY,CHANDLER,MARICOPA,85286.0,PUBLIC,111,0.96
1040,PARKRIDGE ELEMENTARY,PEORIA,MARICOPA,85382.0,PUBLIC,111,0.93
1041,ROGERS RANCH SCHOOL,LAVEEN,MARICOPA,85339.0,PUBLIC,111,0.95
1042,VENTANA VISTA ELEMENTARY SCHOOL,TUCSON,PIMA,85750.0,PUBLIC,111,0.93
1043,TRAILSIDE POINT ELEMENTARY,LAVEEN,MARICOPA,85339.0,PUBLIC,111,0.93
1044,ANZA TRAIL ELEMENTARY,SAHUARITA,PIMA,85629.0,PUBLIC,112,1.0
1045,CAMP VERDE MIDDLE SCHOOL,CAMP VERDE,YAVAPAI,86322.0,PUBLIC,112,0.77
1046,CORTE SIERRA ELEMENTARY SCHOOL,AVONDALE,MARICOPA,85392.0,PUBLIC,112,0.94
1047,FRANK BORMAN MIDDLE SCHOOL,PHOENIX,MARICOPA,85031.0,PUBLIC,112,0.99
1048,FRANKLIN ELEMENTARY SCHOOL,MESA,MARICOPA,85204.0,PUBLIC,112,0.94
1049,HIGHLAND PRIMARY SCHOOL,SNOWFLAKE,NAVAJO,85937.0,PUBLIC,112,0.91
1050,SYCAMORE ELEMENTARY,VAIL,PIMA,85641.0,PUBLIC,112,0.95
1051,TWIN PEAKS ELEMENTARY SCHOOL,TUCSON,PIMA,85743.0,PUBLIC,112,0.94
1052,BLUE RIDGE ELEMENTARY SCHOOL,LAKESIDE,NAVAJO,85929.0,PUBLIC,113,0.88
1053,GLADDEN FARMS ELEMENTARY SCHOOL,MARANA,PIMA,85653.0,PUBLIC,113,0.95
1054,GREAT HEART ACADEMIES ARCHWAY LINCOLN,CHANDLER,MARICOPA,,CHARTER,113,0.91
1055,LA PALOMA ACADEMY - LAKESIDE,TUCSON,PIMA,,CHARTER,113,0.99
1056,SUNRISE ELEMENTARY SCHOOL,YUMA,YUMA,85367.0,PUBLIC,113,0.97
1057,HIGLEY TRADITIONAL ACADEMY,GILBERT,MARICOPA,85295.0,PUBLIC,114,0.93
1058,MADISON CAMELVIEW ELEMENTARY,PHOENIX,MARICOPA,85016.0,PUBLIC,114,0.9
1059,ASHLAND ELEMENTARY,GILBERT,MARICOPA,85295.0,PUBLIC,115,0.93
1060,BASIS - PHOENIX PRIMARY,PHOENIX,MARICOPA,85028.0,CHARTER,115,0.96
1061,EMERSON ELEMENTARY SCHOOL,MESA,MARICOPA,85201.0,PUBLIC,115,0.97
1062,UNION ELEMENTARY SCHOOL,TOLLESON,MARICOPA,85353.0,PUBLIC,115,0.97
1063,THE PAIDEIA ACADEMY OF SOUTH PHOENIX,PHOENIX,MARICOPA,85042.0,CHARTER,115,0.9
1064,FIRESIDE ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85050.0,PUBLIC,116,0.92
1065,MARY A OTONDO ELEMENTARY SCHOOL,YUMA,YUMA,85365.0,PUBLIC,116,0.96
1066,MARYVALE PREPARATORY ACADEMY,PHOENIX,MARICOPA,85031.0,CHARTER,116,0.92
1067,TRAILSIDE POINT ELEMENTARY,LAVEEN,MARICOPA,85339.0,PUBLIC,116,0.89
1068,ABIA JUDD ELEMENTARY SCHOOL,PRESCOTT,YAVAPAI,86305.0,PUBLIC,117,0.82
1069,GATEWAY POLYTECHNIC ACADEMY,MESA,MARICOPA,85212.0,PUBLIC,117,0.92
1070,GREAT HEARTS ACADEMIES - ARCHWAY NORTH PHOENIX,PHOENIX,MARICOPA,85032.0,CHARTER,117,0.94
1071,KYRENE DE LAS BRISAS SCHOOL,CHANDLER,MARICOPA,85226.0,PUBLIC,117,0.92
1072,VISTANCIA ELEMENTARY SCHOOL,PEORIA,MARICOPA,85383.0,PUBLIC,117,0.94
1073,SYNERGY PUBLIC SCHOOL,PHOENIX,MARICOPA,85017.0,CHARTER,117,0.8
1074,LEGACY TRADITIONAL SCHOOL - PEORIA,PEORIA,MARICOPA,85383.0,CHARTER,118,0.89
1075,MADISON HEIGHTS ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85020.0,PUBLIC,118,0.95
1076,BICENTENNIAL SOUTH SCHOOL,GLENDALE,MARICOPA,85303.0,PUBLIC,119,0.98
1077,CACTUS VIEW ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85022.0,PUBLIC,119,0.97
1078,DESERT MESA ELEMENTARY SCHOOL,YUMA,YUMA,,PUBLIC,119,1.0
1079,DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,QUEEN CREEK,MARICOPA,85142.0,PUBLIC,119,0.92
1080,GREAT HEARTS ACADEMIES - ARCHWAY VERITAS,PHOENIX,MARICOPA,85018.0,CHARTER,119,0.92
1081,HIGHLAND PARK ELEMENTARY,GILBERT,MARICOPA,85234.0,PUBLIC,119,0.86
1082,ARIZONA CHARTER ACADEMY,SURPRISE,MARICOPA,85374.0,CHARTER,120,0.96
1083,BASIS CHANDLER PRIMARY NORTH CAMPUS,CHANDLER,MARICOPA,85225.0,CHARTER,120,0.94
1084,HIGHLAND ELEMENTARY SCHOOL,MESA,MARICOPA,85213.0,PUBLIC,120,0.93
1085,HORIZON COMMUNITY LEARNING CENTER,PHOENIX,MARICOPA,,CHARTER,121,0.9
1086,IMAGINE ELEMENTARY SCHOOL AT ROSEFIELD,SURPRISE,MARICOPA,85379.0,CHARTER,121,0.86
1087,WASHINGTON ELEMENTARY SCHOOL-85051,PHOENIX,MARICOPA,85051.0,PUBLIC,121,0.94
1088,AMERICAN LEADERSHIP ACADEMY - GILBERT,GILBERT,MARICOPA,85295.0,CHARTER,122,0.87
1089,HEATHERBRAE ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,122,0.96
1090,HUALAPAI ELEMENTARY SCHOOL,KINGMAN,MOHAVE,86401.0,PUBLIC,122,0.89
1091,ISHIKAWA ELEMENTARY SCHOOL,MESA,MARICOPA,85213.0,PUBLIC,122,0.94
1092,PALM LANE ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85035.0,PUBLIC,122,0.93
1093,SUPERSTITION SPRINGS ELEMENTARY,MESA,MARICOPA,85209.0,PUBLIC,122,0.94
1094,UNION ELEMENTARY SCHOOL,TOLLESON,MARICOPA,85353.0,PUBLIC,122,0.98
1095,ACADEMY OF MATH AND SCIENCE - DESERT SKY,PHOENIX,MARICOPA,85035.0,CHARTER,123,1.0
1096,DESERT VALLEY ELEMENTARY,BULLHEAD CITY,MOHAVE,86442.0,PUBLIC,123,0.98
1097,JAMES KENDALL ZAHARIS ELEMENTARY,MESA,MARICOPA,85207.0,PUBLIC,123,0.9
1098,LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,LAVEEN,MARICOPA,85339.0,CHARTER,123,0.93
1099,LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,TUCSON,PIMA,85742.0,CHARTER,123,0.97
1100,OCOTILLO ELEMENTARY SCHOOL,TUCSON,PIMA,85706.0,PUBLIC,123,0.98
1101,PARK MEADOWS ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85308.0,PUBLIC,123,0.95
1102,WESTWIND PRIMARY,PHOENIX,MARICOPA,85037.0,PUBLIC,123,0.99
1103,COUNTRY MEADOWS ELEMENTARY SCHOOL,PEORIA,MARICOPA,85345.0,PUBLIC,124,0.97
1104,LITCHFIELD ELEMENTARY SCHOOL,LITCHFIELD PARK,MARICOPA,85340.0,PUBLIC,124,0.98
1105,STARLIGHT PARK SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,124,0.98
1106,THE PAIDEIA ACADEMY OF SOUTH PHOENIX,PHOENIX,MARICOPA,85042.0,CHARTER,124,0.96
1107,VISTANCIA ELEMENTARY SCHOOL,PEORIA,MARICOPA,85383.0,PUBLIC,124,0.91
1108,ACACIA ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85053.0,PUBLIC,125,0.96
1109,CHAPARRAL ELEMENTARY SCHOOL-85295,GILBERT,MARICOPA,85295.0,PUBLIC,125,0.91
1110,LEMAN ACADEMY OF EXCELLENCE - MARANA,TUCSON,PIMA,85743.0,CHARTER,125,0.98
1111,SONORAN FOOTHILLS SCHOOL,PHOENIX,MARICOPA,85085.0,PUBLIC,125,0.92
1112,WASHINGTON ELEMENTARY SCHOOL-85051,PHOENIX,MARICOPA,85051.0,PUBLIC,125,0.97
1113,BASIS - ORO VALLEY PRIMARY,ORO VALLEY,PIMA,85737.0,CHARTER,126,0.96
1114,BASIS - PEORIA PRIMARY,PEORIA,MARICOPA,85383.0,CHARTER,126,0.95
1115,NEVITT ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85042.0,PUBLIC,126,1.0
1116,ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,PEORIA,MARICOPA,85345.0,CHARTER,127,0.67
1117,AUGUSTA RANCH ELEMENTARY,MESA,MARICOPA,85209.0,PUBLIC,127,0.96
1118,CHANDLER TRADITIONAL ACADEMY - LIBERTY CAMPUS,CHANDLER,MARICOPA,85225.0,PUBLIC,127,0.95
1119,DESERT WILLOW ELEMENTARY SCHOOL,TUCSON,PIMA,85747.0,PUBLIC,127,0.97
1120,GALLEGO BASIC ELEMENTARY SCHOOL,TUCSON,PIMA,85706.0,PUBLIC,127,1.0
1121,FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,MESA,MARICOPA,,PUBLIC,128,0.92
1122,MARICOPA ELEMENTARY SCHOOL,MARICOPA,PINAL,85139.0,PUBLIC,128,0.98
1123,SUNSET ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,128,0.96
1124,NOAH WEBSTER SCHOOLS - MESA,,MARICOPA,,PRIVATE,129,0.92
1125,ACACIA ELEMENTARY SCHOOL,VAIL,PIMA,85641.0,PUBLIC,130,0.96
1126,SHAW BUTTE SCHOOL,PHOENIX,MARICOPA,85029.0,PUBLIC,130,0.95
1127,PASEO POINTE SCHOOL,LAVEEN,MARICOPA,85339.0,PUBLIC,131,0.95
1128,WHIPPLE RANCH ELEMENTARY SCHOOL,SHOW LOW,NAVAJO,85901.0,PUBLIC,131,0.77
1129,FAITH MATHER SOSSAMAN ELEMENTARY,QUEEN CREEK,MARICOPA,85142.0,PUBLIC,132,0.88
1130,BLAKE PRIMARY SCHOOL,PARKER,LA PAZ,85344.0,PUBLIC,134,0.95
1131,CERBAT ELEMENTARY SCHOOL,KINGMAN,MOHAVE,86409.0,PUBLIC,134,0.75
1132,SILVER VALLEY ELEMENTARY,MESA,MARICOPA,85212.0,PUBLIC,134,0.71
1133,CHANDLER TRADITIONAL ACADEMY - INDEPENDENCE,CHANDLER,MARICOPA,85248.0,PUBLIC,135,0.96
1134,LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,TUCSON,PIMA,85743.0,CHARTER,135,0.97
1135,ECHO MOUNTAIN PRIMARY SCHOOL,PHOENIX,MARICOPA,85022.0,PRIVATE,136,0.91
1136,JOHN F LONG SCHOOL,PHOENIX,MARICOPA,85031.0,PUBLIC,136,0.99
1137,CHARLOTTE PATTERSON ELEMENTARY,GILBERT,MARICOPA,85298.0,PUBLIC,137,0.96
1138,JACK DALEY PRIMARY SCHOOL,THATCHER,GRAHAM,,PUBLIC,137,0.95
1139,PATTERSON ELEMENTARY SCHOOL,GILBERT,MARICOPA,85234.0,PUBLIC,137,0.96
1140,WILSON ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85008.0,PUBLIC,137,0.99
1141,LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,GILBERT,MARICOPA,85295.0,CHARTER,139,0.91
1142,SAHUARITA PRIMARY SCHOOL,SAHUARITA,PIMA,85629.0,PUBLIC,139,0.96
1143,BURKE BASIC SCHOOL,MESA,MARICOPA,85210.0,CHARTER,140,0.99
1144,RICE SCHOOL,SAN CARLOS,GILA,85550.0,PUBLIC,140,1.0
1145,LEGACY TRADITIONAL SCHOOL - MARICOPA,MARICOPA,PINAL,85138.0,CHARTER,141,0.87
1146,WILLIAM C JACK SCHOOL,GLENDALE,MARICOPA,85301.0,PUBLIC,142,0.98
1147,LEGACY TRADITIONAL SCHOOL - GLENDALE,GLENDALE,MARICOPA,85306.0,PUBLIC,143,0.88
1148,TOMAHAWK ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,143,0.98
1149,BONNIE BRENNAN SCHOOL,WINSLOW,NAVAJO,86047.0,PUBLIC,144,0.99
1150,LEGACY TRADITIONAL SCHOOL - CHANDLER,CHANDLER,MARICOPA,85286.0,CHARTER,144,0.97
1151,SAN TAN ELEMENTARY,GILBERT,MARICOPA,85297.0,PUBLIC,146,0.96
1152,LOOKOUT MOUNTAIN SCHOOL,PHOENIX,MARICOPA,85023.0,PUBLIC,147,0.93
1153,PALOMINO PRIMARY SCHOOL,PHOENIX,MARICOPA,85032.0,PUBLIC,147,0.97
1154,METCALF ELEMENTARY SCHOOL,MORENCI,GREENLEE,85540.0,PUBLIC,148,0.99
1155,MANZANITA ELEMENTARY SCHOOL,KINGMAN,MOHAVE,86401.0,PUBLIC,150,0.89
1156,PERALTA ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85035.0,PUBLIC,152,0.99
1157,LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,QUEEN CREEK,PINAL,85140.0,CHARTER,154,0.86
1158,WESTWOOD PRIMARY SCHOOL,PHOENIX,MARICOPA,85015.0,PUBLIC,154,0.99
1159,MADISON RICHARD SIMIS SCHOOL,PHOENIX,MARICOPA,85020.0,PUBLIC,155,0.9
1160,DESERT GARDEN ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85303.0,PUBLIC,157,0.98
1161,GREENFIELD ELEMENTARY SCHOOL,GILBERT,MARICOPA,85234.0,PUBLIC,158,0.95
1162,LEGACY TRADITIONAL SCHOOL - AVONDALE,AVONDALE,MARICOPA,85323.0,CHARTER,159,0.93
1163,BASIS - TUCSON MIDDLE SCHOOL,TUCSON,PIMA,85716.0,CHARTER,160,0.97
1164,LEGACY TRADITIONAL SCHOOL - CASA GRANDE,CASA GRANDE,PINAL,85138.0,CHARTER,160,0.93
1165,IMAGINE ELEMENTARY AT DESERT WEST,PHOENIX,MARICOPA,85035.0,CHARTER,161,0.96
1166,TERRITORIAL EARLY CHILDHOOD CENTER,CHINO VALLEY,YAVAPAI,86323.0,PRIVATE,163,0.86
1167,WILLIAM C JACK SCHOOL,GLENDALE,MARICOPA,85301.0,PUBLIC,165,0.97
1168,DESERT VIEW ACADEMY,YUMA,YUMA,85364.0,CHARTER,166,0.96
1169,MOUNTAIN VIEW ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85029.0,PUBLIC,168,1.0
1170,LEGACY TRADITIONAL SCHOOL - PHOENIX,PHOENIX,MARICOPA,85037.0,CHARTER,169,0.95
1171,LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,CHANDLER,MARICOPA,85225.0,CHARTER,170,0.93
1172,ENCANTO ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85013.0,PUBLIC,173,0.96
1173,PAYSON ELEMENTARY SCHOOL,PAYSON,GILA,85541.0,PUBLIC,174,0.92
1174,SEVILLA PRIMARY SCHOOL,PHOENIX,MARICOPA,85019.0,PUBLIC,174,0.97
1175,LEGACY TRADITIONAL SCHOOL- EAST MESA,MESA,MARICOPA,85212.0,CHARTER,177,0.92
1176,TERRITORIAL EARLY CHILDHOOD CENTER,CHINO VALLEY,YAVAPAI,86323.0,PUBLIC,177,0.84
1177,ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,SCOTTSDALE,MARICOPA,85260.0,CHARTER,178,0.9
1178,MADISON ROSE LANE SCHOOL,PHOENIX,MARICOPA,85014.0,PUBLIC,179,0.92
1179,ACADEMY OF MATH AND SCIENCE GLENDALE,GLENDALE,MARICOPA,85301.0,CHARTER,185,0.9
1180,AVONDALE MIDDLE SCHOOL,AVONDALE,MARICOPA,85323.0,PUBLIC,185,0.88
1181,EDUPRIZE SCHOOL - GILBERT,GILBERT,MARICOPA,85233.0,CHARTER,189,0.77
1182,PARADISE HONORS ELEMENTARY SCHOOL,SURPRISE,MARICOPA,85374.0,CHARTER,192,0.89
1183,GRANADA PRIMARY SCHOOL,PHOENIX,MARICOPA,85017.0,PUBLIC,194,1.0
1184,DESERT SPRINGS ACADEMY,TUCSON,PIMA,85748.0,CHARTER,200,0.5
1185,LEGACY TRADITIONAL SCHOOL SURPRISE,SURPRISE,MARICOPA,85379.0,CHARTER,207,0.93
1186,EDUPRIZE SCHOOL,QUEEN CREEK,PINAL,85142.0,CHARTER,230,0.88
1187,HOLIDAY PARK ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,239,1.0
